
untry","Deaths","Confirmed","PopDensity","MedianAge","UrbanPop","Bed","Lung","HealthExp","GDP"
"Afghanistan",14,444,60,18,25,0.5,37.62,184,481.243153767694
"Albania",22,400,105,36,63,2.9,11.67,774,5357.57039151823
"Algeria",205,1572,18,29,73,1.9,8.77,1031,3940.17985067813
"Antigua and Barbuda",2,19,223,34,26,3.8,11.76,1105,17236.9778104545
"Argentina",63,1715,17,32,93,5,29.27,1390,9856.43038218573
"Armenia",9,881,104,35,63,4.2,23.86,883,4536.92120423468
"Australia",50,6010,3,38,86,3.8,18.79,4492,53971.0298289984
"Austria",273,12942,109,43,57,7.6,17.02,5138,49711.1053719811
"Azerbaijan",8,822,123,32,56,4.7,20.61,1191,4652.34998856416
"Bahrain",5,823,2239,32,89,6.8,18.37,2453,22440.386112866
"Bangladesh",20,218,1265,28,39,0.8,69.07,88,1927.65917399788
"Barbados",3,63,668,40,31,5.8,9.65,1234,18056.5463244889
"Belarus",13,1066,47,40,79,11,9.46,1085,6621.85005211484
"Belgium",2240,23403,383,42,98,6.2,27.11,4782,44661.4182359512
"Benin",1,26,108,19,48,0.5,29.33,84,1185.66055166953
"Bhutan",0,5,20,28,46,1.7,71.93,287,3683.21738499342
"Bolivia",15,210,11,26,69,1.1,18.42,446,3632.39301976755
"Bosnia and Herzegovina",34,804,64,43,52,3.5,18.48,1102,6128.34783022166
"Brazil",819,16170,25,33,88,2.2,26.57,1392,8689.42917734856
"Brunei",1,135,83,32,80,2.7,33.05,2083,28469.9379855947
"Bulgaria",24,593,64,45,76,6.8,19.79,1492,9534.50736099948
"Burkina Faso",23,414,76,18,31,0.4,19.38,96,698.120337422757
"Cambodia",0,117,95,26,24,0.8,34.21,210,1598.78317826492
"Cameroon",10,730,56,19,56,1.3,24.85,163,1455.29267592468
"Canada",407,19141,4,41,81,2.7,19.01,4600,45861.5584049601
"Central African Republic",0,8,8,18,43,1,41.66,32,61.4962251492058
"Chile",48,5546,26,35,85,2.2,14.84,1903,15392.0227141366
"China",3337,82809,153,38,61,4.2,63.1,762,9824.17106962318
"Colombia",54,2054,46,31,80,1.5,36.3,853,6444.11104707081
"Congo (Brazzaville)",5,45,16,19,70,1.6,29.04,34,8878.80165716851
"Congo (Kinshasa)",18,180,40,17,46,1.6,29.06,203,129.252106512891
"Costa Rica",3,502,100,33,80,1.2,20.42,1286,11978.7174148695
"Cote d'Ivoire",3,384,83,19,51,0.4,34.56,190,1684.68187114896
"Croatia",19,1343,73,44,58,5.6,21.75,1656,14786.3707768581
"Cuba",12,457,106,42,78,5.2,23.3,131,8830.79288641903
"Cyprus",9,526,131,37,67,3.4,17.85,2137,20110.0087049502
"Czechia",99,5312,139,43,74,6.5,19.68,2470,23060.3640066221
"Denmark",218,5597,137,42,88,2.5,31.99,5083,59938.5173376205
"Djibouti",0,135,43,27,79,2.2,18.41,147,3204.45344129555
"Dominican Republic",108,2111,225,28,85,1.6,11.43,873,8248.1325895956
"Ecuador",242,4450,71,28,63,1.5,24.07,980,6116.5147485237
"Egypt",103,1560,103,25,43,1.6,22.61,495,2953.61079153791
"Equatorial Guinea",0,18,50,22,73,2.1,41.24,790,8654.40471565982
"Estonia",24,1185,31,42,68,5,8.8,1887,23397.7995303554
"Eswatini",0,12,67,21,30,0.8,53.05,629,4014.08766346827
"Ethiopia",2,55,115,19,21,0.3,18.56,66,792.998910228863
"Finland",40,2487,18,43,86,4.4,9.92,3996,48667.6821784894
"France",10887,113959,119,42,82,6.5,13.15,4542,41472.7805893573
"Gabon",1,34,9,23,87,6.3,26.53,481,7582.66711116423
"Georgia",3,211,57,38,58,2.6,23.26,718,3992.06150055889
"Germany",2349,113296,240,46,76,8.3,20.01,5357,46110.7929249736
"Ghana",6,313,137,22,57,0.9,21.09,249,2158.69499313551
"Greece",83,1884,81,46,85,4.3,20.62,2204,20532.5617616487
"Guatemala",3,87,167,23,52,0.6,21.2,444,4538.95740285767
"Guinea",0,164,53,18,39,4.024199963,25.37,57,313.794588280713
"Guyana",6,37,4,27,27,1.6,25.7,336,6007.23156256675
"Honduras",22,312,89,24,57,0.7,21.39,353,2468.44725893718
"Hungary",58,895,107,43,72,7,27.68,1912,17639.8352399411
"Iceland",6,1616,3,37,94,3.2,19.71,4116,70090.815049686
"India",178,5916,464,28,35,0.7,96.92,238,2127.21787836928
"Indonesia",240,2956,151,30,56,1.2,36.26,369,4064.41323174235
"Iran",3993,64586,52,32,76,1.5,18.84,1262,5458.7915468952
"Iraq",69,1202,93,21,73,1.4,8.56,481,5580.50939309008
"Ireland",235,6074,72,38,63,2.8,24.92,5335,77958.0160015035
"Israel",73,9404,400,30,93,3.1,16.1,2819,44794.1115136153
"Italy",17669,139422,206,47,69,3.4,17,3351,32890.769789189
"Jamaica",4,63,273,31,55,1.7,15.74,511,5302.63912842471
"Japan",93,4257,347,48,92,13.4,12.17,4405,40754.4214887543
"Jordan",6,358,115,24,91,1.4,14.54,568,4329.25804953654
"Kazakhstan",7,727,7,31,58,6.7,114.28,903,9071.13265387802
"Kenya",6,179,94,20,28,1.4,19.15,157,1833.8222682972
"Korea, South",200,10384,527,44,82,11.5,10.48,2556,31783.8483291669
"Kuwait",1,855,240,37,92,2,10.99,2978,32218.4082643749
"Kyrgyzstan",4,270,34,26,36,4.5,39.59,287,1266.20985424255
"Latvia",2,577,30,44,69,5.8,8.06,1429,18579.7037214545
"Lebanon",19,576,667,30,78,2.9,17.28,1117,8580.39292676155
"Liberia",4,31,53,19,53,0.8,17.35,128,636.853134865564
"Lithuania",15,912,43,45,71,7.3,11.5,1875,19704.3737825044
"Luxembourg",46,3034,242,40,88,4.8,20.52,6382,110951.183587922
"Malaysia",65,4119,99,30,78,1.9,23.73,1064,11286.6282916217
"Maldives",0,19,1802,30,35,4.3,26.7,1514,10704.0314941984
"Malta",1,299,1380,43,93,4.7,12.05,3471,33652.441551559
"Mauritania",1,6,5,20,57,0.4,19.71,177,1215.35820484001
"Mauritius",7,273,626,37,41,3.4,30.56,1099,11315.7431229595
"Mexico",141,2785,66,29,84,1.5,27.85,1009,9882.47726316679
"Moldova",27,1174,123,38,43,5.8,17.13,515,2897.39891020319
"Mongolia",0,16,2,28,67,7,13.4,470,4159.79062255017
"Montenegro",2,248,47,39,68,4,17.6,957,8636.03506637837
"Morocco",93,1275,83,30,64,1.1,10.39,435,3225.09330663095
"Namibia",0,16,3,22,55,2.7,43.86,942,5654.67815601134
"Nepal",0,9,203,25,21,0.3,100.75,151,1023.20748381223
"Netherlands",2255,20682,508,43,92,4.7,26,5313,52661.9049153096
"New Zealand",1,1210,18,38,87,2.8,21.88,3530,42443.2000693455
"Nigeria",6,276,226,18,52,0.3,21.14,215,2166.21660189688
"North Macedonia",29,617,83,39,59,4.4,22.14,857,6082.4412707464
"Norway",101,6086,15,40,83,3.9,26.13,6222,77035.3135010969
"Oman",2,419,16,31,87,1.6,10.87,1636,15001.8818687721
"Pakistan",61,4263,287,23,35,0.6,50.61,134,1286.66299610027
"Panama",59,2249,58,30,68,2.3,24.25,1543,15884.0558482069
"Paraguay",5,119,18,26,62,1.3,19.1,724,5708.20653181238
"Peru",121,4342,26,31,79,1.6,17.69,671,6944.98404608973
"Philippines",182,3870,368,26,47,1,44.52,323,3256.16435348446
"Poland",159,5205,124,42,60,6.5,16.16,1704,14951.2462291538
"Portugal",380,13141,111,46,66,3.4,13.35,2661,23184.7353886435
"Qatar",6,2210,248,32,96,1.2,7.87,3900,66589.8891828786
"Romania",220,4761,84,43,55,6.3,18.8,1090,12667.7364762746
"Russia",63,8672,9,40,74,8.2,14.51,1414,11223.4764671281
"Rwanda",0,110,525,20,18,1.6,25.79,143,788.204769252648
"Saint Lucia",0,14,301,34,19,1.3,24.89,681,10848.0778970413
"Saint Vincent and the Grenadines",0,8,307,33,78,2.6,18.27,470,7443.47826086957
"Saudi Arabia",41,2932,16,32,84,2.7,12.41,3121,22384.4398113614
"Senegal",2,244,87,19,49,0.3,22.57,97,1429.77211976617
"Serbia",65,2666,100,42,56,5.7,23.27,1324,5896.85387057503
"Seychelles",0,11,214,34,56,3.6,19.52,867,16716.3207825353
"Singapore",6,1623,8358,42,99,2.4,8.32,3681,62016.5453575193
"Slovakia",2,682,114,41,54,4.8,11.72,2062,19516.2979550674
"Slovenia",40,1091,103,45,55,4.6,11.89,2734,26048.8768784831
"Somalia",1,12,25,17,47,0.9,18.02,174,311.956883255013
"South Africa",18,1845,49,28,67,2.8,44.3,1086,6050.36125397475
"Spain",14792,148220,94,45,80,3,16.37,3183,29897.9069048301
"Sri Lanka",7,189,341,34,18,3.6,21.58,353,4042.63734102191
"Sudan",2,14,25,20,35,0.8,35.12,277,704.071174747305
"Suriname",1,10,4,29,65,3.1,13.41,1017,6433.33469705028
"Sweden",687,8419,25,41,88,2.6,16.17,5299,52373.0192246664
"Switzerland",895,23280,219,43,74,4.7,15.22,7583,82656.411799383
"Tanzania",1,25,67,18,37,0.7,18.09,96,1041.68100099678
"Thailand",30,2369,137,40,51,2.1,25.82,610,7581.33476775594
"Togo",3,70,152,19,43,0.8,29.36,96,664.595171912966
"Trinidad and Tobago",8,107,273,36,52,3,14.1,2204,16153.7648054146
"Tunisia",24,628,76,33,70,2.3,23.54,774,3277.20184566403
"Turkey",812,38226,110,32,76,2.7,35.63,996,8818.07241239697
"Ukraine",52,1668,75,41,69,8.8,11.11,469,3439.01354747392
"United Arab Emirates",12,2659,118,33,86,1.2,18.37,2426,41026.7449189628
"United Kingdom",7111,61474,281,40,83,2.8,23.66,4145,40414.6002922458
"Uruguay",7,424,20,36,96,2.8,33.57,1748,17248.8938403388
"US",14695,429052,36,38,83,2.9,32.01,9536,64771.242572314
"Uzbekistan",3,545,79,28,50,4,10.42,383,1807.33314743109
"Venezuela",9,167,32,30,80,0.8,22.34,579,2466.59684891725
"Vietnam",0,251,314,32,38,2.6,26.26,334,2687.9065082715
"Zambia",1,39,25,18,45,2,20.04,203,1302.54888025999
