
untry","Day","Confirmed"
"Australia",0,107
"Australia",1,128
"Australia",2,128
"Australia",3,200
"Australia",4,250
"Australia",5,297
"Australia",6,377
"Australia",7,452
"Australia",8,568
"Australia",9,681
"Australia",10,791
"Australia",11,1071
"Australia",12,1549
"Australia",13,1682
"Australia",14,2044
"Australia",15,2364
"Australia",16,2810
"Australia",17,3143
"Australia",18,3640
"Australia",19,3984
"Australia",20,4361
"Australia",21,4559
"Australia",22,4862
"Australia",23,5116
"Australia",24,5330
"Australia",25,5550
"Australia",26,5687
"Australia",27,5797
"Australia",28,5895
"Australia",29,6010
"Austria",0,104
"Austria",1,131
"Austria",2,182
"Austria",3,246
"Austria",4,302
"Austria",5,504
"Austria",6,655
"Austria",7,860
"Austria",8,1018
"Austria",9,1332
"Austria",10,1646
"Austria",11,2013
"Austria",12,2388
"Austria",13,2814
"Austria",14,3582
"Austria",15,4474
"Austria",16,5283
"Austria",17,5588
"Austria",18,6909
"Austria",19,7657
"Austria",20,8271
"Austria",21,8788
"Austria",22,9618
"Austria",23,10180
"Austria",24,10711
"Austria",25,11129
"Austria",26,11524
"Austria",27,11781
"Austria",28,12051
"Austria",29,12297
"Austria",30,12639
"Austria",31,12942
"Belgium",0,109
"Belgium",1,169
"Belgium",2,200
"Belgium",3,239
"Belgium",4,267
"Belgium",5,314
"Belgium",6,314
"Belgium",7,559
"Belgium",8,689
"Belgium",9,886
"Belgium",10,1058
"Belgium",11,1243
"Belgium",12,1486
"Belgium",13,1795
"Belgium",14,2257
"Belgium",15,2815
"Belgium",16,3401
"Belgium",17,3743
"Belgium",18,4269
"Belgium",19,4937
"Belgium",20,6235
"Belgium",21,7284
"Belgium",22,9134
"Belgium",23,10836
"Belgium",24,11899
"Belgium",25,12775
"Belgium",26,13964
"Belgium",27,15348
"Belgium",28,16770
"Belgium",29,18431
"Belgium",30,19691
"Belgium",31,20814
"Belgium",32,22194
"Belgium",33,23403
"Brazil",0,151
"Brazil",1,151
"Brazil",2,162
"Brazil",3,200
"Brazil",4,321
"Brazil",5,372
"Brazil",6,621
"Brazil",7,793
"Brazil",8,1021
"Brazil",9,1546
"Brazil",10,1924
"Brazil",11,2247
"Brazil",12,2554
"Brazil",13,2985
"Brazil",14,3417
"Brazil",15,3904
"Brazil",16,4256
"Brazil",17,4579
"Brazil",18,5717
"Brazil",19,6836
"Brazil",20,8044
"Brazil",21,9056
"Brazil",22,10360
"Brazil",23,11130
"Brazil",24,12161
"Brazil",25,14034
"Brazil",26,16170
"Canada",0,108
"Canada",1,117
"Canada",2,193
"Canada",3,198
"Canada",4,252
"Canada",5,415
"Canada",6,478
"Canada",7,657
"Canada",8,800
"Canada",9,943
"Canada",10,1277
"Canada",11,1469
"Canada",12,2088
"Canada",13,2790
"Canada",14,3251
"Canada",15,4042
"Canada",16,4682
